14.05.2019 9:10	Pelastus B	Comets	Pekka
14.05.2019 9:40	Pelastus A	TevaRobots	Jens
14.05.2019 9:50	Pelastus A	Ambu	Jens
14.05.2019 10:00	Pelastus A	Pelastus Team	Jens
14.05.2019 10:10	Pelastus A	Team SiNiMa	Jens
14.05.2019 10:20	Pelastus A	Nuufa	Jens
14.05.2019 10:30	Pelastus A	Aha-tiim	Jens
14.05.2019 10:40	Pelastus A	SandWich SSA	Jens
14.05.2019 10:50	Pelastus A	TiiTaavit	Jens
14.05.2019 11:00	Pelastus A	Destroyer	Jens
14.05.2019 11:10	Pelastus A	CoderKing	Jens
14.05.2019 11:20	Pelastus A	Nimettömät	Jens
14.05.2019 11:30	Pelastus A	Palomiehet	Jens
14.05.2019 11:40	Pelastus A	Gopnik squad	Jens
14.05.2019 11:50	Pelastus A	Marsmallows	Jens
