Antoonio;Veikkolan koulu, Kirkkonummi
Kiinnitätkö jatkossa huomiota...;Naukion yhtenäiskoulu, Kuusankoski
Kouvostoliitto;Naukion yhtenäiskoulu, Kuusankoski
UL;Naukion yhtenäiskoulu, Kuusankoski
Ukko & ukot;Sammonlahden koulu, Lappeenranta
Klåpare;Bosund skola, Larsmo
VaLeOt;Lehmijärven koulu, Lohja
Kongolo;Jokivarren koulu, Orimattila
Lalan;Rajakylän Koulu, Oulu
Roska-auto;Rajakylän koulu, Oulu
Team Kauksu;Kaukajärven koulu, Tampere
Beta Perunat;Ylästön koulu, Vantaa
Chip;Zachariasskolan, Uusikarlepyy
