banaani monsterit;Friisilän koulu, Espoo
Friisilän sumoilijat;Friisilän koulu, Espoo
Hännäkäs-ruukku;Olarin koulu, Espoo
Mänärimehu;Jalavapuiston koulu, Espoo
Niipperi Pluto;Niipperi, Espoo
Sumorektaajat;Vanttilan koulu, Espoo
Martti X;Martin koulu, Hyvinkää
Pursuit;Ikaalisten yhteiskoulu
TevaRobots;Tevaniemen koulu, Ikaalinen
Myräkkä;Vuoksenniskan koulukeskus, Imatra
Maitopurkki;Joensuun Steinerkoulu
KEK.;Kempeleen Kirkonkylän koulu
Kiitäjät;Kirkonkylän koulu, Innokas-kerho, Kempele
Roskamestarit;Kempeleen Kirkonkylän koulu
Super Tankki 2.0;Kempeleen Kirkonkylän koulu
Mörkö;Veikkolan koulu, Kirkkonummi
EMT;Kontiolahden teknologiakaerho
Karhut;Pyörön koulu, Kuopio
Tahma-Ahmat;Pyörön koulu (Ala-Pyörö), Kuopio
Dingding;Naukion yhtenäiskoulu, Kuusankoski
Kaksoispiste D;Naukion yhtenäiskoulu, Kuusankoski
Kiinnitätkö jatkossa huomiota...;Naukion yhtenäiskoulu, Kuusankoski
Kouvostoliitto;Naukion yhtenäiskoulu, Kuusankoski
Queens;Naukion yhtenäiskoulu, Kuusankoski
UL;Naukion yhtenäiskoulu, Kuusankoski
SMM-team;Lumakeskus-Saimaa teknologiakerho, Lappeenranta ja Luumäki
Akenosa;Myllymäen koulu, Lappeenranta
Dankit Tankit;Sammonlahden koulu, Lappeenranta
FightRobots;Voisalmen koulu, Lappeenranta
Gameboy;Myllymäen koulu, Lappeenranta
jonne 52;Myllymäen koulu, Lappeenranta
Kuutio;Pontuksen koulu, Lappeenranta
Möfö-Jonnet;Voisalmen koulu, Lappeenranta
Pekka 2.0;Kaukaan koulu, Lappeenranta
R2D2;Teknologiakerho LUMA-keskus Saimaa, Lappeenranta
Siun isäs;Pontuksen koulu, Lappeenranta
Susilääni;Pontuksen koulu, Lappeenranta
T.E.E.N.Robots;Voisalmen koulu, Lappeenranta
teamMYRSKY;Myllymäen koulu, Lappeenranta
Teletubbi;Kaukaan koulu, Lappeenranta
Tuho15;Pontuksen koulu, Lappeenranta
Viis-Aat;Kesämäen koulu, Lappeenranta
Wololo;Voisalmen koulu, Lappeenranta
XXXTEHO;Kaukaan koulu, Lappeenranta
Jytevä Jyrki;Skinnarilan koulu, Lappeenranta
Team #pushoutofthearena;Alanurmon koulu, Lapua
Team Noob;Alanurmon koulu, Lapua
FE-ROBOTS;Bosund skola, Larsmo
Klåpare;Bosund skola, Larsmo
TEAM JORIROBOTS;Bosund skola, Larsmo
WAW ROBB;Bosund skola, Larsmo
Sumogang;Roution koulu, Lohja
Xtra-cola;Ojaniitun koulu, Lohja
Savello;Muijalan koulu, Lohjan kaupunki
Muhkeat Siilit;Huovilan koulun ohjelmointikerho, Muhos
My little Pony;Huovilan ohjelmointikerho, Muhos
Pinkie Pie;Huovilan koulun ohjelmointikerho, Muhos
Röpöpojat;Huovilan koulun ohjelmointikerho, Muhos
KFC;Jokivarren koulu, Orimattila
Hulivilit;Rajakylän koulu, Oulu
Kriisipuuro;Rajakylän koulu, Oulu
Muumilimu;Rajakylän koulu, Oulu
Perunat;Rajakylän koulu, Oulu
Robo-corn;Rajakylän koulu, Oulu
S.UDET;Rajakylän koulu, Oulu
Smurffilimu;Rajakylän koulu, Oulu
South Side Serpents;Rajakylän koulu, Oulu
VVE- yksisarviset;Rajakylä, Oulu
5D-1;Pärnu Mai School
6D-1;Pärnu Mai School
HalTi;Ounasrinteen koulu, Rovaniemi
kakkuaivot;Saaren koulu, Rovaniemi
Proäijät;Ounasrinteen koulu, Rovaniemi
The Dark Sumo;Saaren koulu, Rovaniemi
TUHOpossut;Saaren koulu, Rovaniemi
Glitter Unicorns;Europaeuksen koulu, Savitaipale
Hupputiimi;Europaeuksen koulu, Savitaipale
Makaronilaatikko;Pohjois- Hervannan koulu, Tampere
marshmallows;Turun kv koulu
comets;Turun kv koulu
Galaxybot;Zachariasskolan, Uusikaarlepyy
Sid;Zachariasskolan, Uusikarlepyy
Froggy;Zachariasskolan, Uusikarlepyy
Team Kössi;Tervajoen koulu, Vaasa
El Toro Jr.;Ylästön koulu, Vantaa
Grey Bull;Ylästön koulu, Vantaa
I Want To Be Ninja;Ylästön koulu, Vantaa
ISV-ANNEBOT;International School of Vantaa
The Storm;Ylästön koulu, Vantaa
Seppo;Veikkolan koulu, Kirkkonummi
